pinyin,tone,server_name,filename,url,status,size,http_status
can,3,can,can3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/can3.mp3,downloaded,22568,200
can,4,can,can4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/can4.mp3,downloaded,16299,200
cang,1,cang,cang1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cang1.mp3,downloaded,25703,200
cang,2,cang,cang2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cang2.mp3,downloaded,18180,200
cang,3,cang,cang3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cang3.mp3,downloaded,25076,200
cang,4,cang,cang4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cang4.mp3,downloaded,18180,200
cao,1,cao,cao1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cao1.mp3,downloaded,23822,200
cao,2,cao,cao2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cao2.mp3,downloaded,17553,200
cao,3,cao,cao3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cao3.mp3,downloaded,20061,200
cao,4,cao,cao4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cao4.mp3,downloaded,17553,200
ce,1,ce,ce1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ce1.mp3,downloaded,21941,200
ce,2,ce,ce2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ce2.mp3,downloaded,15045,200
ce,3,ce,ce3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ce3.mp3,downloaded,22568,200
ce,4,ce,ce4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ce4.mp3,downloaded,14418,200
cen,1,cen,cen1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cen1.mp3,downloaded,22568,200
cen,2,cen,cen2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cen2.mp3,downloaded,15672,200
cen,3,cen,cen3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cen3.mp3,downloaded,20061,200
cen,4,cen,cen4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cen4.mp3,downloaded,16299,200
ceng,1,ceng,ceng1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ceng1.mp3,downloaded,24240,200
ceng,2,ceng,ceng2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ceng2.mp3,downloaded,28002,200
ceng,3,ceng,ceng3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ceng3.mp3,downloaded,24240,200
ceng,4,ceng,ceng4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/ceng4.mp3,downloaded,27584,200
cha,1,cha,cha1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cha1.mp3,downloaded,17553,200
cha,2,cha,cha2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cha2.mp3,downloaded,12537,200
cha,3,cha,cha3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cha3.mp3,downloaded,18807,200
cha,4,cha,cha4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cha4.mp3,downloaded,12537,200
chai,1,chai,chai1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chai1.mp3,downloaded,18807,200
chai,2,chai,chai2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chai2.mp3,downloaded,13791,200
chai,3,chai,chai3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chai3.mp3,downloaded,17553,200
chai,4,chai,chai4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chai4.mp3,downloaded,12537,200
chan,1,chan,chan1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chan1.mp3,downloaded,21941,200
chan,2,chan,chan2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chan2.mp3,downloaded,16299,200
chan,3,chan,chan3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chan3.mp3,downloaded,21941,200
chan,4,chan,chan4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chan4.mp3,downloaded,16926,200
chang,1,chang,chang1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chang1.mp3,downloaded,23822,200
chang,2,chang,chang2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chang2.mp3,downloaded,23822,200
chang,3,chang,chang3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chang3.mp3,downloaded,25494,200
chang,4,chang,chang4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chang4.mp3,downloaded,23822,200
chao,1,chao,chao1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chao1.mp3,downloaded,22568,200
chao,2,chao,chao2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chao2.mp3,downloaded,16299,200
chao,3,chao,chao3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chao3.mp3,downloaded,20061,200
chao,4,chao,chao4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chao4.mp3,downloaded,16299,200
che,1,che,che1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/che1.mp3,downloaded,25076,200
che,2,che,che2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/che2.mp3,downloaded,17553,200
che,3,che,che3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/che3.mp3,downloaded,23195,200
che,4,che,che4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/che4.mp3,downloaded,15672,200
chen,1,chen,chen1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chen1.mp3,downloaded,20688,200
chen,2,chen,chen2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chen2.mp3,downloaded,17553,200
chen,3,chen,chen3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chen3.mp3,downloaded,20061,200
chen,4,chen,chen4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chen4.mp3,downloaded,11284,200
cheng,1,cheng,cheng1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cheng1.mp3,downloaded,23822,200
cheng,2,cheng,cheng2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cheng2.mp3,downloaded,21732,200
cheng,3,cheng,cheng3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cheng3.mp3,downloaded,24240,200
cheng,4,cheng,cheng4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/cheng4.mp3,downloaded,21732,200
chi,1,chi,chi1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chi1.mp3,downloaded,21315,200
chi,2,chi,chi2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chi2.mp3,downloaded,15045,200
chi,3,chi,chi3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chi3.mp3,downloaded,21941,200
chi,4,chi,chi4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chi4.mp3,downloaded,16299,200
chong,1,chong,chong1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chong1.mp3,downloaded,22568,200
chong,2,chong,chong2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chong2.mp3,downloaded,15672,200
chong,3,chong,chong3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chong3.mp3,downloaded,22568,200
chong,4,chong,chong4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chong4.mp3,downloaded,16299,200
chou,1,chou,chou1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chou1.mp3,downloaded,20688,200
chou,2,chou,chou2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chou2.mp3,downloaded,16299,200
chou,3,chou,chou3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chou3.mp3,downloaded,25076,200
chou,4,chou,chou4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chou4.mp3,downloaded,16299,200
chu,1,chu,chu1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chu1.mp3,downloaded,21941,200
chu,2,chu,chu2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chu2.mp3,downloaded,15672,200
chu,3,chu,chu3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chu3.mp3,downloaded,21941,200
chu,4,chu,chu4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chu4.mp3,downloaded,15045,200
chua,1,chua,chua1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chua1.mp3,downloaded,24449,200
chua,2,chua,chua2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chua2.mp3,downloaded,15045,200
chua,3,chua,chua3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chua3.mp3,downloaded,22568,200
chua,4,chua,chua4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chua4.mp3,downloaded,16299,200
chuai,1,chuai,chuai1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuai1.mp3,downloaded,23195,200
chuai,2,chuai,chuai2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuai2.mp3,downloaded,16299,200
chuai,3,chuai,chuai3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuai3.mp3,downloaded,21941,200
chuai,4,chuai,chuai4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuai4.mp3,downloaded,14418,200
chuan,1,chuan,chuan1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuan1.mp3,downloaded,23822,200
chuan,2,chuan,chuan2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuan2.mp3,downloaded,20061,200
chuan,3,chuan,chuan3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuan3.mp3,downloaded,22568,200
chuan,4,chuan,chuan4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuan4.mp3,downloaded,16299,200
chuang,1,chuang,chuang1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuang1.mp3,downloaded,23195,200
chuang,2,chuang,chuang2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuang2.mp3,downloaded,17553,200
chuang,3,chuang,chuang3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuang3.mp3,downloaded,24449,200
chuang,4,chuang,chuang4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuang4.mp3,downloaded,16299,200
chui,1,chui,chui1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chui1.mp3,downloaded,22568,200
chui,2,chui,chui2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chui2.mp3,downloaded,16299,200
chui,3,chui,chui3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chui3.mp3,downloaded,21941,200
chui,4,chui,chui4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chui4.mp3,downloaded,15672,200
chun,1,chun,chun1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chun1.mp3,downloaded,19434,200
chun,2,chun,chun2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chun2.mp3,downloaded,15045,200
chun,3,chun,chun3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chun3.mp3,downloaded,18807,200
chun,4,chun,chun4.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chun4.mp3,downloaded,15045,200
chuo,1,chuo,chuo1.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuo1.mp3,downloaded,21941,200
chuo,2,chuo,chuo2.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuo2.mp3,downloaded,16926,200
chuo,3,chuo,chuo3.mp3,https://s3.amazonaws.com/media.yabla.com/chinese_static/audio/alicia/chuo3.mp3,downloaded,25703,200
